མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,,276,2,《པེ་》《སྣར་》,mབ།,,
,,277,3,《པེ་》《སྣར་》,བསྲུང་བའི།,,
,,278,4,《ཅོ་》,བཀུ།,,
,,279,5,《སྣར་》,སྤྱད།,,
,,280,6,《པེ་》《སྣར་》,mནི།,,
,,281,7,《པེ་》,ཤི།,,
,,282,8,《སྣར་》,གཅད།,,
,768,283,1,《པེ་》《སྣར་》,འཇའ།,,
,,284,2,《པེ་》《སྣར་》,ཀཪྵ་པ་ཎི།,,
,,285,3,《སྣར་》,བརྐུསོ།,,
,,286,4,《པེ་》《སྣར་》,འཇུབ་བུས་ཀཪྵ་པ་ཎི།,,
,,287,5,《པེ་》《སྣར་》,ནི།,,
,,288,6,《པེ་》《སྣར་》《ཅོ་》,གྱི།,,
,,289,7,《པེ་》《སྣར་》,ཀྱིས།,,
,,290,8,《པེ་》《སྣར་》,གྱི།,,
,769,291,1,《པེ་》《སྣར་》,ཅིག,,
,,292,2,《པེ་》《སྣར་》,བཞག,,
,,293,3,《ཅོ་》,གཅིག,,
,,294,4,《ཅོ་》,གཅིག,,
,,295,5,《པེ་》《སྣར་》,རིང་།,,
,,296,6,《པེ་》《སྣར་》,བཞག,,
,,297,7,《པེ་》《སྣར་》,ཀཪྵ་པ་ཎི།,,
,,298,8,《པེ་》《སྣར་》,རྐུ།,,
,,299,9,《པེ་》《སྣར་》《ཅོ་》,བླ།,,
,,300,10,《པེ་》《སྣར་》,pལོ།,,
,770,301,1,《ཅོ་》,ལས།,,
,,302,2,《པེ་》《སྣར་》,mནི།,,
,,303,3,《པེ་》《སྣར་》,བརྐུ།,,
,,304,4,《པེ་》,ཤགས་ཀར།,《སྣར་》,ཤེགས་ཀར།,
,,305,5,《པེ་》《སྣར་》,གི།,,
,,306,6,《ཅོ་》,པོའི།,,
,,307,7,《པེ་》《སྣར་》,བོ།,,
,,308,8,《པེ་》《སྣར་》,བཅད།,,
