མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
,,335,3,《པེ་》《སྣར་》,pཕྱིར།,,,,,
,,336,4,《པེ་》《སྣར་》,pཉིད།,,,,,
,,337,5,《པེ་》《སྣར་》,ཨོཾ།,,,,,
,,338,6,《པེ་》《སྣར་》,བ།,,,,,
,,339,7,《པེ་》《སྣར་》,ངྷརྨྨ་དྷ།,,,,,
,,340,8,《པེ་》《སྣར་》,ཨཏྨ།,,,,,
,75,341,1,《པེ་》《སྣར་》,mདེའི།,,,,,
,,342,2,《པེ་》《སྣར་》,མ་ཧཱ་རཱ།,,,,,
,,343,3,《པེ་》《སྣར་》,བོ།,,,,,
,,344,4,《པེ་》《སྣར་》,pཿ,,,,,
,,345,5,《པེ་》《སྣར་》,mཨོཾ།,,,,,
,,346,6,《པེ་》《སྣར་》,མཾ།,,,,,
,,347,7,《པེ་》《སྣར་》,ཚིག།,,,,,
,,348,8,《པེ་》《སྣར་》,ཅན།,,,,,
,76,349,1,《པེ་》《སྣར་》,བཞུགས།,,,,,
,,350,2,《པེ་》《སྣར་》,pདག,,,,,
,,351,3,《པེ་》《སྣར་》,ལ།,,,,,
,,352,4,《པེ་》《སྣར་》,པོ།,,,,,
,,353,5,《པེ་》《སྣར་》,mལ།,,,,,
,,354,6,《པེ་》《སྣར་》,ཐོབ།,,,,,
,,355,7,《པེ་》《སྣར་》,mལ་གནས་པ།,,,,,
,,356,8,《པེ་》《སྣར་》,འཁྲུས།,,,,,
,77,357,1,《པེ་》《སྣར་》,བོ།,,,,,
,,358,2,《པེ་》《སྣར་》,ཡང་།,,,,,
,,359,3,《པེ་》《སྣར་》,བརླབ།,,,,,
,,360,4,《པེ་》《སྣར་》,ཏ་ཨ།,,,,,
,,361,5,《པེ་》《སྣར་》,སརྦྦ།,,,,,
,,362,6,《པེ་》《སྣར་》,mདུ།,,,,,
,,363,7,《པེ་》《སྣར་》,དྷྲིཀ།,,,,,
,78,364,1,《པེ་》《སྣར་》,mགྱི།,,,,,
,,365,2,《པེ་》《སྣར་》,བཞུགས།,,,,,
,,366,3,《པེ་》《སྣར་》,རིགས།,,,,,
,79,367,1,《པེ་》《སྣར་》,བ།,,,,,
,,368,2,《པེ་》《སྣར་》,མོའིའོ།,,,,,
,,369,3,《པེ་》《སྣར་》,གིས།,,,,,
,80,370,1,《པེ་》《སྣར་》,པའི།,,,,,
,,371,2,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,372,3,《པེ་》《སྣར་》《ཅོ་》,ཀྱི།,,,,,
,,373,4,《པེ་》《སྣར་》,པ།,,,,,
,,374,5,《པེ་》《སྣར་》,pཔདྨ་དང་རལ་གྲི་དང་།,,,,,
,,375,6,《པེ་》《སྣར་》,mདྲིལ་བུ་དང་།,,,,,
,81,376,1,《པེ་》《སྣར་》,བ་འཁྲུག,,,,,
,,377,2,《པེ་》《སྣར་》,pལ།,,,,,
,,378,3,《པེ་》《སྣར་》,པ།,,,,,
,,379,4,《པེ་》《སྣར་》,བཞུགས།,,,,,
,82,380,1,《པེ་》《སྣར་》,ཞུགས།,,,,,
,,381,2,《པེ་》《སྣར་》,བསམ་སྟེ།,,,,,
,83,382,1,《པེ་》《སྣར་》,སྦྱིན།,,,,,
,,383,2,《པེ་》《སྣར་》,ཞུགས།,,,,,
,,384,3,《པེ་》《སྣར་》,ཐལ་བར།,,,,,
,,385,4,《པེ་》《སྣར་》,དཔའ།,,,,,
,,386,5,《པེ་》《སྣར་》,pཔ།,,,,,
,,387,6,《པེ་》《སྣར་》,བཏང་།,,,,,
,,388,7,《པེ་》《སྣར་》,དཔའ།,,,,,
,84,389,1,《པེ་》《སྣར་》,སྟེ།,,,,,
,,390,2,《པེ་》《སྣར་》,བས་ན།,,,,,
,,391,3,《པེ་》《སྣར་》,གྱིས།,,,,,
,,392,4,《པེ་》《སྣར་》,གཞུག,,,,,
,,393,5,《པེ་》《སྣར་》,པ་སྟེ།,,,,,
,,394,6,《པེ་》《སྣར་》,པོ།,,,,,
,,395,7,《པེ་》《སྣར་》,པ།,,,,,
,,396,8,《པེ་》《སྣར་》,པ་ཞེ།,,,,,
,,397,9,《པེ་》《སྣར་》,pཀྱི།,,,,,
,,398,10,《པེ་》《སྣར་》,mདཔའ།,,,,,
,,399,11,《པེ་》《སྣར་》,སྟེན།,,,,,
,85,400,1,《པེ་》《སྣར་》,ཀྱེ།,,,,,
,,401,2,《པེ་》《སྣར་》,mཀུན་ཞེས་པ།,,,,,
