མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,,290,5,《པེ་》《སྣར་》,ཅན།,,,,,,
,,291,6,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,292,7,《པེ་》,བསྐྱོད།,《སྣར་》,བསྐྱེད།,,,,,
,,293,8,《པེ་》《སྣར་》,mཡི།,,,,,,
,,294,9,《པེ་》《སྣར་》,མ།,,,,,,
,,295,10,《པེ་》《སྣར་》,བྱེད།,,,,,,
,,296,11,《སྣར་》,མ།,,,,,,
,,297,12,《པེ་》《སྣར་》,འབྲལ།,,,,,,
,511,298,1,《པེ་》《སྣར་》,དྲོ།,,,,,,
,,299,2,《པེ་》《སྣར་》,འདྲ།,,,,,,
,,300,3,《པེ་》,རྩེ།,,,,,,
,,301,4,《པེ་》《སྣར་》,དེ།,,,,,,
,,302,5,《པེ་》《སྣར་》,ཡིན།,,,,,,
,,303,6,《སྣར་》,pབྱེད་པར།,,,,,,
,,304,7,《པེ་》《སྣར་》,ན།,,,,,,
,,305,8,《པེ་》《སྣར་》,ལས།,,,,,,
,,306,9,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,307,10,《པེ་》《སྣར་》,བཞིན།,,,,,,
,512,308,1,《པེ་》《སྣར་》,རྟོགས།,,,,,,
,,309,2,《པེ་》《སྣར་》,ལོག,,,,,,
,,310,3,《པེ་》《སྣར་》,ཡིན་ན།,,,,,,
,513,311,1,《པེ་》《སྣར་》,ཉིད།,,,,,,
,,312,2,《པེ་》《སྣར་》,གསུང་པ།,,,,,,
,,313,3,《སྣར་》,pཕྱིར།,,,,,,
,,314,4,《པེ་》,pཤོ་ལོ་ཀ་གཅིག་པོ་འདི་དཔེ་གཞན་ལ་མེད།,《སྣར་》,pཤློ་ཀ་གཅིག་…...ལ་མེད།,,,,,
,514,315,1,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,316,2,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,317,3,《པེ་》《སྣར་》,འཛགས།,,,,,,
,,318,4,《པེ་》《སྣར་》,འགྱུར།,,,,,,
,,319,5,《པེ་》《སྣར་》,mཔས།,,,,,,
,,320,6,《པེ་》《སྣར་》,དམ། །སྤང་།,,,,,,
,,321,7,《པེ་》《སྣར་》,བརྟེན།,,,,,,
,,322,8,《པེ་》《སྣར་》,རྟོག,,,,,,
,515,323,1,《པེ་》《སྣར་》,གི།,,,,,,
,,324,2,《པེ་》《སྣར་》,ཉེས།,,,,,,
,,325,3,《པེ་》《སྣར་》,གྲུབ།,,,,,,
,,326,4,《པེ་》《སྣར་》,རྩྭ།,,,,,,
,,327,5,《པེ་》《སྣར་》,ལ།,,,,,,
,,328,6,《པེ་》《སྣར་》,ཁྱབ།,,,,,,
,,329,7,《པེ་》《སྣར་》,སོགས།,,,,,,
,,330,8,《པེ་》,མཚུང་།,,,,,,
,,331,9,《པེ་》《སྣར་》,རོ།,,,,,,
,516,332,1,《པེ་》《སྣར་》,ཆད།,,,,,,
,,333,2,《པེ་》《སྣར་》,བརྟག,,,,,,
,,334,3,《པེ་》,བརླབ།,,,,,,
,,335,4,《ཅོ་》,འབྱུང་།,,,,,,
,,336,5,《པེ་》《སྣར་》,འདི།,,,,,,
,,337,6,《པེ་》《སྣར་》《ཅོ་》,རྣོ།,,,,,,
,,338,7,《པེ་》《སྣར་》,mདེ།,,,,,,
,,339,8,《པེ་》《སྣར་》,mདེ།,,,,,,
,,340,9,《པེ་》《སྣར་》,བགྱི།,,,,,,
,517,341,1,《པེ་》《སྣར་》,སྲེད།,,,,,,
,,342,2,《པེ་》《སྣར་》,རྒྱུ་ནི་འཕེན་པར།,,,,,,
,,343,3,《པེ་》《སྣར་》,མ།,,,,,,
,,344,4,《པེ་》《སྣར་》,ཅག,,,,,,
,,345,5,《པེ་》《སྣར་》,བཏགས།,,,,,,
,,346,6,《སྣར་》,རྩོན།,,,,,,
,,347,7,《པེ་》《སྣར་》,ལ།,,,,,,
,,348,8,《པེ་》《སྣར་》,སྟེ།,,,,,,
,,349,9,《སྣར་》,དག,,,,,,
,518,350,1,《པེ་》《སྣར་》,སྔོན་དུ།,,,,,,
,,351,2,《སྣར་》,འདི།,,,,,,
,,352,3,《པེ་》《སྣར་》,ལྟ།,,,,,,
,,353,4,《པེ་》《སྣར་》,ཆགས།,,,,,,
,,354,5,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,355,6,《པེ་》《སྣར་》,འགལ་ཡིན།,,,,,,
,519,356,1,《པེ་》《སྣར་》,ཡི།,,,,,,
,,357,2,《པེ་》《སྣར་》,འདིའི།,,,,,,
,,358,3,《པེ་》《སྣར་》,དག,,,,,,
,,359,4,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,360,5,《པེ་》《སྣར་》,བཟློགས།,,,,,,
,,361,6,《པེ་》《སྣར་》,གསུང་།,,,,,,
,,362,7,《པེ་》《སྣར་》,ཟན།,,,,,,
,,363,8,《པེ་》《སྣར་》,ན།,,,,,,
,,364,9,《པེ་》《སྣར་》,བཞིན།,,,,,,
,520,365,1,《པེ་》《སྣར་》,སྲེག,,,,,,
,,366,2,《སྣར་》,pདང་།,,,,,,
,,367,3,《པེ་》《སྣར་》,མི།,,,,,,
,,368,4,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,369,5,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,370,6,《པེ་》《སྣར་》,ཡིན།,,,,,,
,,371,7,《པེ་》《སྣར་》,གྱིས་བཟློག་ལས།,,,,,,
,,372,8,《པེ་》,ཟློགས་འགྱུར་དེ།,《སྣར་》,ཟློགས་འགྱུར་ཏེ།,,,,,
,521,373,1,《པེ་》《སྣར་》,དེ།,,,,,,
,,374,2,《པེ་》《སྣར་》,དེ།,,,,,,
,,375,3,《པེ་》《སྣར་》,དེ།,,,,,,
,,376,4,《སྣར་》,དེ།,,,,,,
,,377,5,《པེ་》《སྣར་》,ལ་བརྟེན།,,,,,,
,,378,6,《ཅོ་》,འདི་དག,,,,,,
,,379,7,《པེ་》《སྣར་》,འདོར་བ།,,,,,,
