མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,350,9,《པེ་》《སྣར་》,mཀྱེ།,
,697,351,1,《པེ་》《སྣར་》,རྣམ་པ།,
,,352,2,《པེ་》《སྣར་》,པ་སྟེ།,
,,353,3,《པེ་》《སྣར་》,ཀྱིས།,
,,354,4,《པེ་》《སྣར་》,pཔ།,
,,355,5,《པེ་》《སྣར་》,འོད།,
,,356,6,《པེ་》《སྣར་》,pདག,
,,357,7,《པེ་》《སྣར་》,mདང་།,
,,358,8,《པེ་》《སྣར་》,པོ།,
,,359,9,《པེ་》《སྣར་》,mདག,
,,360,10,《པེ་》《སྣར་》,འཆད་པར།,
,,361,11,《སྣར་》,པས།,
,,362,12,《པེ་》《སྣར་》,mདག,
,698,363,1,《པེ་》《སྣར་》,ཞུགས།,
,,364,2,《པེ་》《སྣར་》,mཕྱིར།,
,,365,3,《པེ་》《སྣར་》,mརབ་ཏུ།,
,,366,4,《པེ་》《སྣར་》,mཕྲག,
,,367,5,《པེ་》《སྣར་》,mཕྲག,
,,368,6,《པེ་》《སྣར་》《ཅོ་》,པ།,
,,369,7,《པེ་》《སྣར་》,pདེ་བཞིན་དུ།,
,699,370,1,《པེ་》《སྣར་》,གཅིག,
,,371,2,《པེ་》《སྣར་》,pདུ།,
,,372,3,《པེ་》《སྣར་》,པ་འཁོར།,
,,373,4,《པེ་》《སྣར་》,mརྡུལ་ཕྲ་རབ་ཀྱི་……ཀུན་ཏུ་སྟོན་ཏོ། །,
,,374,5,《པེ་》《སྣར་》,pགྱི།,
,,375,6,《པེ་》《སྣར་》,པ།,
,700,376,1,《པེ་》《སྣར་》,དུ།,
,,377,2,《པེ་》《སྣར་》,pན།,
,,378,3,《པེ་》《སྣར་》,mདང་།,
,,379,4,《པེ་》《སྣར་》,pཀྱང་།,
,,380,5,《པེ་》《སྣར་》,mགི།,
,,381,6,《པེ་》《སྣར་》,ཅིང་།,
,,382,7,《པེ་》《སྣར་》,pརེ་རེ།,
,,383,8,《པེ་》《སྣར་》,གི།,
,,384,9,《པེ་》《སྣར་》,mབཀོད་པའི།,
,,385,10,《པེ་》《སྣར་》,སྟེ།,
,,386,11,《པེ་》《སྣར་》,ཆགས།,
,701,387,1,《པེ་》《སྣར་》,mཡལ་ག་འགེལ་བ།,
,,388,2,《པེ་》《སྣར་》,བཅུར།,
,,389,3,《པེ་》《སྣར་》,pབཅུ།,
,,390,4,《པེ་》《སྣར་》,འཇིགས།,
,,391,5,《པེ་》《སྣར་》,པ།,
,,392,6,《པེ་》《སྣར་》,ལ་བསམ།,
,,393,7,《པེ་》《སྣར་》,ཀྱིས་གནས།,
,,394,8,《པེ་》《སྣར་》,mལ་སོགས་པ།,
,,395,9,《པེ་》《སྣར་》,སྒྲུབ།,
,702,396,1,《པེ་》《སྣར་》,ཞམ།,
,,397,2,《པེ་》《སྣར་》,ནི།,
,,398,3,《པེ་》《སྣར་》,ཞིང་།,
,,399,4,《པེ་》《སྣར་》,གདུལ།,
,,400,5,《པེ་》《སྣར་》,ན།,
,,401,6,《པེ་》《སྣར་》,པའི།,
,,402,7,《པེ་》《སྣར་》,ནི།,
,,403,8,《པེ་》《སྣར་》,གདུལ།,
,,404,9,《པེ་》《སྣར་》,བཤམས།,
,703,405,1,《སྣར་》,pཔའི།,
,,406,2,《པེ་》《སྣར་》,pསུམ།,
,,407,3,《པེ་》《སྣར་》,ལ་ཡང་དོན།,
,,408,4,《པེ་》《སྣར་》,གྱིས་བརློབས་ཀྱིས།,
,704,409,1,《པེ་》《སྣར་》,mཏིང་ངེ་འཛིན།,
,,410,2,《པེ་》《སྣར་》,སོ།,
,,411,3,《པེ་》《སྣར་》,གཟུང་།,
,,412,4,《པེ་》《སྣར་》,mཀྱི་ཚད།,
,,413,5,《པེ་》,གཟུང་།,
,,414,6,《པེ་》《སྣར་》,གྱིས་བརླབས།,
,,415,7,《པེ་》《སྣར་》,པའི།,
,705,416,1,《པེ་》《སྣར་》,དགྱེ།,
,,417,2,《པེ་》《སྣར་》,དགྱེ།,
,,418,3,《པེ་》《སྣར་》,དགྱེ།,
,,419,4,《པེ་》《སྣར་》,དགྱེ།,
,,420,5,《པེ་》《སྣར་》,pཏིང་ངེ་འཛིན།,
,,421,6,《པེ་》《སྣར་》,བ།,
,,422,7,《པེ་》《སྣར་》,mའདི་ལྟར།,
,,423,8,《པེ་》《སྣར་》,mརྣམས།,
,,424,9,《པེ་》《སྣར་》,ཀྱིས།,
,,425,10,《པེ་》《སྣར་》,པུས་བསྒྲུབ།,
,,426,11,《པེ་》《སྣར་》,mའུབ་ཀྱིས།,
,,427,12,《པེ་》《སྣར་》,mརོ། །,
,706,428,1,《པེ་》《སྣར་》,ལ་བལྟོས།,
,,429,2,《པེ་》《སྣར་》,pབྱ།,
,,430,3,《པེ་》《སྣར་》,ན།,
,,431,4,《པེ་》《སྣར་》,ལྟར།,
,,432,5,《པེ་》《སྣར་》,mའདིར།,
,707,433,1,《པེ་》《སྣར་》,པ།,
,,434,2,《པེ་》《སྣར་》,བརྟགས།,
,,435,3,《སྣར་》,ལས།,
,,436,4,《པེ་》《སྣར་》,འདི།,
,,437,5,《པེ་》《སྣར་》,གྲངས་མེད་པ།,
,,438,6,《པེ་》《སྣར་》,mནི།,
,,439,7,《པེ་》《སྣར་》,བརྩོལ།,
,,440,8,《པེ་》《སྣར་》,ན།,
,708,441,1,《པེ་》《སྣར་》,སྐྱེ།,
,,442,2,《པེ་》《སྣར་》,mལ།,
,,443,3,《པེ་》《སྣར་》,pརྣམས།,
,,444,4,《པེ་》《སྣར་》,ན།,
,,445,5,《པེ་》《སྣར་》,བ།,
,709,446,1,《པེ་》《སྣར་》,འབྱུང་།,
,,447,2,《པེ་》《སྣར་》,mཀྱང་།,
,,448,3,《པེ་》《སྣར་》,པ་བསྟན་ཏེ།,
,,449,4,《པེ་》《སྣར་》,mབ།,
,,450,5,《པེ་》《སྣར་》,pགསུམ།,
,710,451,1,《པེ་》《སྣར་》,འགྱུར།,
,,452,2,《པེ་》《སྣར་》,དུ།,
,,453,3,《པེ་》《སྣར་》,སྣང་བ།,
,,454,4,《པེ་》《སྣར་》,བསྐྱེད།,
