མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་གྲངས།,མཆན།
,,378,8,《པེ་》《སྣར་》,mཔ།
,1477,379,1,《པེ་》《སྣར་》,pཡང་།
,,380,2,《པེ་》《སྣར་》,པ།
,,381,3,《པེ་》《སྣར་》,ལྟར།
,,382,4,《པེ་》《སྣར་》,ཤེས་པ་ལ་རིགས་ཤེས།
,,383,5,《པེ་》《སྣར་》,དུས་ཤེས་པ།
,,384,6,《པེ་》《སྣར་》,pཔ།
,1478,385,1,《པེ་》《སྣར་》,mབ།
,,386,2,《པེ་》《སྣར་》,pདབང་པོ་ནི་བྱང་ཆུབ་ཀྱི་ཤིང་གི།
,,387,3,《པེ་》《སྣར་》,བཞུགས།
,,388,4,《པེ་》《སྣར་》,mཔ།
,,389,5,《པེ་》《སྣར་》,སྨིན།
,1479,390,1,《པེ་》《སྣར་》,བའོ།
,,391,2,《པེ་》《སྣར་》,གློག
,,392,3,《པེ་》《སྣར་》,གིས།
,,393,4,《པེ་》《སྣར་》,ཀྱི།
,,394,5,《པེ་》《སྣར་》,དེས་བདག་གིས་ཤེས།
,,395,6,《པེ་》《སྣར་》,བཟུང་།
,1480,396,1,《པེ་》《སྣར་》,གྱི།
,,397,2,《པེ་》《སྣར་》,འགྲོའོ།
,,398,3,《པེ་》《སྣར་》,ལྟར།
,,399,4,《སྣར་》,པ།
,,400,5,《པེ་》《སྣར་》,གི།
,,401,6,《པེ་》《སྣར་》,mཔའོ།,
,,402,7,《པེ་》《སྣར་》,ཏེ།,
,,403,8,《པེ་》,འཕྲོག,《སྣར་》,འཁྲོ།
,,404,9,《པེ་》《སྣར་》,སྐྱེ།,
,,405,10,《པེ་》《སྣར་》,ལ།,
,1481,406,1,《པེ་》《སྣར་》,བསྡུ།,
,,407,2,《པེ་》,ཡིད།,
,,408,3,《པེ་》《སྣར་》,ནས།,
,,409,4,《པེ་》《སྣར་》,།། །།,
,,410,5,《པེ་》《སྣར་》,ཨ་ཙཱརྱ་ཨ་ནནྟ་དང་། ལོཙྪ། ,
,,411,6,《སྣར་》,pམངྒཱལཾ།།,
