མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ,མཆན།,
,,276,6,《པེ་》《སྣར་》,གྱི།,
,,277,7,《པེ་》《སྣར་》,བས།,
,,278,8,《པེ་》《སྣར་》,ནི།,
,,279,9,《པེ་》《སྣར་》,ལ།,
,,280,10,《པེ་》《སྣར་》,pའདིས།,
,,281,11,《པེ་》《སྣར་》,བསྟན།,
,501,282,1,《པེ་》《སྣར་》,སྐྱེད།,
,,283,2,《པེ་》《སྣར་》,སྲིད།,
,,284,3,《པེ་》,བཞི།,
,,285,4,《པེ་》《སྣར་》,གྱི།,
,,286,5,《པེ་》《སྣར་》,ཀྱི།,
,,287,6,《པེ་》《སྣར་》,བྱ་བའོ།,
,502,288,1,《ཅོ་》,pཔས།,
,,289,2,《པེ་》《སྣར་》,ནས།,
,,290,3,《པེ་》《སྣར་》,ཆེ།,
,,291,4,《སྣར་》,བདེན་པའི།,
,,292,5,《པེ་》《སྣར་》,mཕྱིར།,
,,293,6,《པེ་》《སྣར་》,དང་།,
,,294,7,《པེ་》《སྣར་》,pཔོ།,
,503,295,1,《པེ་》《སྣར་》,ཤ་སྟག,
,,296,2,《པེ་》《སྣར་》《ཅོ་》,ཀྱི།,
,,297,3,《སྣར་》,དྲལ།,
,,298,4,《པེ་》《སྣར་》,pལ།,
,,299,5,《པེ་》《སྣར་》,སོགས།,
,504,300,1,《པེ་》《སྣར་》,སྤང་བའོ།,
,,301,2,《པེ་》《སྣར་》,གྱི།,
,,302,3,《པེ་》《སྣར་》,pཔོ།,
,,303,4,《སྣར་》,ཐོས།,
,505,304,1,《པེ་》《སྣར་》,བསྡུད།,
,,305,2,《པེ་》《སྣར་》,པ་ནི།,
,,306,3,《པེ་》,སྲུང་སྐྱེ།,
,,307,4,《པེ་》,འབྱུང་བ་ལྔ།,《སྣར་》,བྱུང་བ་ལྔ།
,,308,5,《སྣར་》,ཡོད་ཡང་།,
,,309,6,《པེ་》《སྣར་》,pཔ།,
,,310,7,《པེ་》,བུ།,
,,311,8,《པེ་》,མཽངྒལ་གྱི།,《སྣར་》,མོངྒལ་གྱི།
,506,312,1,《པེ་》,ཀོོ་དི།,《སྣར་》,ཀོའུ་དི།
,,313,2,《པེ་》,ཀོོ་དི་ནྱ་མིང་།,《སྣར་》,ཀོའུ་དི་ནྱ་མིང་།
