མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
,943,340,1,《པེ་》《སྣར་》,།།བཙེད།,,,,,,
,,341,2,《པེ་》,བཙོད།;《སྣར་》,བཅེད།,,,,,
,,342,3,《པེ་》《སྣར་》,mདེ།,,,,,,
,,343,4,《པེ་》《སྣར་》,གཙེད།,,,,,,
,,344,5,《པེ་》《སྣར་》,mམ།,,,,,,
,,345,6,《པེ་》,འདི།,,,,,,
,944,346,1,《པེ་》《སྣར་》,ཆོས་སོ།,,,,,,
,,347,2,《པེ་》《སྣར་》,གསལ།,,,,,,
,,348,3,《པེ་》《སྣར་》,pགཅིག,,,,,,
,,349,4,《པེ་》《སྣར་》,བརྟེན།,,,,,,
,,350,5,《པེ་》,ན།,,,,,,
,,351,6,《པེ་》《སྣར་》,གི།,,,,,,
,,352,7,《པེ་》《སྣར་》,ལོགས།,,,,,,
,945,353,1,《པེ་》《སྣར་》,སྐྱེས།,,,,,,
,,354,2,《པེ་》,mཐ།,,,,,,
,,355,3,《པེ་》《སྣར་》,པའི།,,,,,,
,946,356,1,《པེ་》,mདེ་ལྟར་སྦྱོར་བས།;《སྣར་》,དེ་ལྟར་སྦྱོར་བས་དེ་ལས།,,,,,
,,357,2,《པེ་》《སྣར་》,mལ།,,,,,,
,,358,3,《པེ་》《སྣར་》,pལ།,,,,,,
,,359,4,《སྣར་》《ཅོ་》,རྟོགས།,,,,,,
,,360,5,《པེ་》《སྣར་》,ཤེས།,,,,,,
,,361,6,《པེ་》,mན།,,,,,,
,,362,7,《པེ་》,བདག,,,,,,
,,363,8,《པེ་》《སྣར་》,གཞག,,,,,,
,,364,9,《པེ་》《སྣར་》,mནམ།,,,,,,
,947,365,1,《པེ་》《སྣར་》,ད།,,,,,,
,,366,2,《ཅོ་》,གི།,,,,,,
,,367,3,《པེ་》《སྣར་》,mམི།,,,,,,
,,368,4,《པེ་》《སྣར་》,ལྟར།,,,,,,
,,369,5,《པེ་》《སྣར་》,ག,,,,,,
,,370,6,《པེ་》,ཏེ།,,,,,,
,948,371,1,《པེ་》《སྣར་》,pཔ་ཡང་ཐ་དད།,,,,,,
,,372,2,《པེ་》,mལ་སོགས།,,,,,,
,,373,3,《པེ་》,ལྟ།,,,,,,
,,374,4,《པེ་》,mམི་སྲིད་པ།,,,,,,
,,375,5,《པེ་》《སྣར་》,སྲིད།,,,,,,
,,376,6,《པེ་》《སྣར་》,mམ།,,,,,,
,,377,7,《པེ་》,རྟོགས།,,,,,,
,,378,8,《པེ་》《སྣར་》,རྟོག,,,,,,
,949,379,1,《པེ་》《སྣར་》,mདང་།,,,,,,
,,380,2,《པེ་》《སྣར་》,pཔོ།,,,,,,
,,381,3,《པེ་》《སྣར་》,གིས།,,,,,,
,,382,4,《པེ་》《སྣར་》,བསྒྲིབ།,,,,,,
,,383,5,《པེ་》《སྣར་》,mགྱི།,,,,,,
,,384,6,《སྣར་》,བསྒྲུབ།,,,,,,
,950,385,1,《པེ་》《སྣར་》《ཅོ་》,ནི།,,,,,,
,,386,2,《པེ་》《སྣར་》,ནི།,,,,,,
,,387,3,《པེ་》《སྣར་》,པ་ནི།,,,,,,
,,388,4,《པེ་》《སྣར་》,བརྟགས།,,,,,,
,,389,5,《པེ་》,སྨྲས།;《སྣར་》,སྦྲས།,,,,,
,,390,6,《པེ་》,ལ་ལོགས།,,,,,,
,,391,7,《པེ་》《སྣར་》,པོའི།,,,,,,
,,392,8,《པེ་》《སྣར་》,pཔ།,,,,,,
,951,393,1,《པེ་》,ཏོ།།,,,,,,
,,394,2,《པེ་》《སྣར་》,གསལ།,,,,,,
,,395,3,《པེ་》《སྣར་》,པར།,,,,,,
,,396,4,《པེ་》《སྣར་》,པར།,,,,,,
,,397,5,《པེ་》《སྣར་》,བར།,,,,,,
,,398,6,《པེ་》《སྣར་》,བརྟེན།,,,,,,
,,399,7,《པེ་》《སྣར་》,གསལ།,,,,,,
,,400,8,《པེ་》《སྣར་》,མི།,,,,,,
,,401,9,《པེ་》《སྣར་》,གསལ།,,,,,,
,,402,10,《པེ་》《སྣར་》,ཅིག,,,,,,
,,403,11,《པེ་》《སྣར་》,mའདི།,,,,,,
,,404,12,《པེ་》《སྣར་》,mབཤད་པ།,,,,,,
,952,405,1,《པེ་》《སྣར་》,པར།,,,,,,
,,406,2,《པེ་》《སྣར་》,བོར།,,,,,,
,,407,3,《པེ་》《སྣར་》,གསལ།,,,,,,
,,408,4,《པེ་》《སྣར་》,འབྱུང་།,,,,,,
,,409,5,《པེ་》《སྣར་》,གསལ།,,,,,,
,,410,6,《པེ་》《སྣར་》,ལྟར།,,,,,,
,,411,7,《པེ་》《སྣར་》,བསྒྲུབས།,,,,,,
,,412,8,《པེ་》《སྣར་》,pབ།,,,,,,
,,413,9,《པེ་》《སྣར་》,mཕྱིར།,,,,,,
