མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
,,326,6,《པེ་》,མྱ་ངན་འདས་བརྟེན།,《སྣར་》,མྱ་ངན་འདས་བརྟན།
,,327,7,《ཅོ་》,བརྟན།
,,328,8,《པེ་》《སྣར་》,ལས།
,40,329,1,《པེ་》《སྣར་》,པ།
,,330,2,《པེ་》《སྣར་》,ཐར།
,,331,3,《པེ་》《སྣར་》,ན།
,,332,4,《པེ་》《སྣར་》,སྟོང་།
,,333,5,《པེ་》《སྣར་》,འགྲུབ།
,,334,6,《པེ་》《སྣར་》,འགྱུར།
,,335,7,《པེ་》《སྣར་》,པའང་།
,41,336,1,《པེ་》《སྣར་》,ཞིག
,,337,2,《པེ་》《སྣར་》,པའང་།
,,338,3,《པེ་》《སྣར་》,mལས།
,,339,4,《པེ་》《སྣར་》,སྒྲིབས།
,,340,5,《པེ་》《སྣར་》,བ།
,,341,6,《པེ་》《སྣར་》,ནས།
,,342,7,《པེ་》《སྣར་》,རྟེན།
,,343,8,《པེ་》,མིང་།
,42,344,1,《པེ་》《སྣར་》,བ་འབྱུང་།
,,345,2,《པེ་》,འགའ་ཞིག་པོ།,《སྣར་》,འབའ་ཞིག་པོ།
,,346,3,《པེ་》《སྣར་》,པས།
,,347,4,《པེ་》《སྣར་》,སྔོན།
,,348,5,《པེ་》,འགའ་ཞིག་པོ།,《སྣར་》,འབའ་ཞིག་གོ།
,,349,6,《པེ་》《སྣར་》,སྔོན།
,,350,7,《པེ་》《སྣར་》,གྱུར།
,43,351,1,《པེ་》《སྣར་》,ཀྱིས་བདག་ཉིད།
,,352,2,《པེ་》《སྣར་》,མ།
,,353,3,《པེ་》《སྣར་》,ཉིད་དུ་ལྟ།
,,354,4,《པེ་》《སྣར་》,ལ།
,,355,5,《པེ་》《སྣར་》,དེ།
,,356,6,《པེ་》《སྣར་》,དང་།
,,357,7,《པེ་》《སྣར་》,བྱུང་།
,,358,8,《པེ་》,བའང་རྒྱུན།,《སྣར་》,བའང་རྒྱུ།
,44,359,1,《པེ་》《སྣར་》,བ།
,,360,2,《པེ་》《སྣར་》,གང་།
,,361,3,《པེ་》《སྣར་》,ན།
,,362,4,《པེ་》《སྣར་》,གྱུར།
,,363,5,《པེ་》,མེད་མཐའ་ཡོད།
,45,364,1,《སྣར་》,བ།
,,365,2,《པེ་》《སྣར་》,mལྟ་བ་བརྟག་པ་ཞེས་བྱ་བ་སྟེ་རབ་ཏུ་བྱེད་པ་ཉི་ཤུ་བདུན་པའོ།།    །།
,,366,3,《པེ་》《སྣར་》,གི་ཐུགས་རྩེར་ཉེར་གཟུང་།
,,367,4,《པེ་》《སྣར་》,pལྟ་བ་བརྟག་པ་ཞེས་བྱ་བ་སྟེ་རབ་ཏུ་བྱེད་པ་ཉི་ཤུ་བདུན་པའོ།།     །།
,,368,5,《པེ་》《སྣར་》,བཞག
,,369,6,《པེ་》《སྣར་》,pཐེག་པ།
,,370,7,《པེ་》《སྣར་》,ལོ་ཙཱ།
,,371,8,《པེ་》《སྣར་》,དཔུང་།
,,372,9,《པེ་》《སྣར་》,ཤློ།
,46,373,1,《པེ་》《སྣར་》,ལོ་ཙཱ།
,,374,2,《པེ་》《སྣར་》,mསླད་ཀྱིས་ར་ས་འཕྲུལ་སྣང་དེ་ཉིད་ཀྱིས་ཞུ་ཆེན་བགྱིས་པའོ།
