མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
སྒྲ་མདོ། རེ།,1037,2,1,《པེ་》《སྣར་》,རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ་སདྷི་བྷ་དྲས་མཛད་པ།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,99,16,《པེ་》《སྣར་》,ཤསྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100,17,《པེ་》《སྣར་》,ཨེཙྲའི།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,18,《པེ་》《སྣར་》,ཨ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,102,19,《པེ་》《སྣར་》,ངསྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,103,20,《པེ་》《སྣར་》,ཨཀྲའི་ཡཎྲ་ཨཙྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,104,21,《པེ་》《སྣར་》,ཡཎྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,105,22,《པེ་》《སྣར་》,ཨཱཔྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,106,23,《པེ་》《སྣར་》,ནུཊྲའོ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,107,24,《སྣར་》,mཊ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108,25,《སྣར་》,སྔམྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,109,26,《པེ་》《སྣར་》,མྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,110,27,《པེ་》《སྣར་》,སྲི།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,111,28,《པེ་》《སྣར་》,ཨེངྲ་ངེའི་ཨཏྲའང་།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,112,29,《པེ་》《སྣར་》,འང་།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,113,30,《སྣར་》《པེ་》,ཨཙྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,114,31,《པེ་》,ཨིཏྲ་ཨུཏྲ།,《སྣར་》,ཨིཏྲ་ཨད།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,115,32,《པེ་》《སྣར་》,ཨེངྲ་ཐུང་ཨཏྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1042,116,1,《པེ་》《སྣར་》,བཅད།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,117,2,《པེ་》《སྣར་》,ཨགྣི།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,118,3,《པེ་》,ཨགྣཱིནྲ། ཨགྣིནཱ།,《སྣར་》,ཨགྣཱིནྲ། ཨགྣིནྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,119,4,《པེ་》,བྷྱཾཿ།,《སྣར་》,བྷྱཾ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,120,5,《པེ་》《སྣར་》,བྷྱཾ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,121,6,《སྣར་》,ཡཱ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,122,7,《པེ་》《སྣར་》,རིང་།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,123,8,《པེ་》《སྣར་》,དི་ཤོ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,124,9,《པེ་》《སྣར་》,ན།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,125,10,《པེ་》《སྣར་》,པ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,126,11,《སྣར་》,དེ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,127,12,《པེ་》《སྣར་》,ན།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,128,13,《པེ་》《སྣར་》,ཁའི་ཨེཏྲའོ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,129,14,《པེ་》《སྣར་》,ཨེཙྲའི།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
