མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
,476,229,1,《པེ་》《སྣར་》,པ།,,,,,,
,,230,2,《པེ་》《སྣར་》,དོ།,,,,,,
,,231,3,《པེ་》《སྣར་》,pལྟ།,,,,,,
,,232,4,《པེ་》《སྣར་》,pལས།,,,,,,
,,233,5,《སྣར་》,mཡང་།,,,,,,
,,234,6,《པེ་》《སྣར་》,ལྟ།,,,,,,
,,235,7,《སྣར་》,དོ།,,,,,,
,477,236,1,《པེ་》《སྣར་》,pབ།,,,,,,
,,237,2,《པེ་》《སྣར་》,ན།,,,,,,
,,238,3,《པེ་》《སྣར་》,སྡོད།,,,,,,
,,239,4,《པེ་》《སྣར་》,པར།,,,,,,
,,240,5,《པེ་》《སྣར་》,རོ། །ད།,,,,,,
,,241,6,《པེ་》《སྣར་》,ལ།,,,,,,
,,242,7,《པེ་》《སྣར་》,mག,,,,,,
,478,243,1,《པེ་》《སྣར་》《ཅོ་》,mཇི་ལྟར།,,,,,,
,,244,2,《པེ་》《སྣར་》,pརོ།,,,,,,
,,245,3,《པེ་》《སྣར་》,སྡོད།,,,,,,
,,246,4,《པེ་》《སྣར་》,mལ།,,,,,,
,,247,5,《པེ་》《སྣར་》《ཅོ་》,བགོམ།,,,,,,
,,248,6,《པེ་》《སྣར་》,mགང་།,,,,,,
,,249,7,《པེ་》《སྣར་》,དཔའ།,,,,,,
,,250,8,《པེ་》《སྣར་》,དེ།,,,,,,
,479,251,1,《པེ་》《སྣར་》,དེ།,,,,,,
,,252,2,《པེ་》《སྣར་》,བརྟག,,,,,,
,,253,3,《པེ་》《སྣར་》,བརྟག,,,,,,
,,254,4,《པེ་》《སྣར་》,གར།,,,,,,
,,255,5,《པེ་》《སྣར་》,mའགྱུར།,,,,,,
,480,256,1,《པེ་》《སྣར་》,རྫངས།,,,,,,
,,257,2,《པེ་》,གོ།,,,,,,
,,258,3,《པེ་》《སྣར་》,པ།,,,,,,
,,259,4,《པེ་》《སྣར་》,pན།,,,,,,
,,260,5,《པེ་》《སྣར་》,pགྱི།,,,,,,
,,261,6,《པེ་》《སྣར་》,གནན།,,,,,,
,,262,7,《པེ་》《སྣར་》,pབ།,,,,,,
,481,263,1,《པེ་》《སྣར་》,དེ།,,,,,,
,,264,2,《པེ་》《སྣར་》,འཐད་དོ།,,,,,,
,,265,3,《པེ་》《སྣར་》,གིས།,,,,,,
,,266,4,《པེ་》《སྣར་》,དེའི།,,,,,,
,,267,5,《པེ་》《སྣར་》,གིས།,,,,,,
,482,268,1,《པེ་》,ན།,,,,,,
,,269,2,《པེ་》《སྣར་》,དེ་མ་ཡིན་པར་གྱུར་པ།,,,,,,
,,270,3,《པེ་》《སྣར་》,mབ།,,,,,,
,,271,4,《པེ་》《སྣར་》,པར་འགྱུར་བ།,,,,,,
,483,272,1,《པེ་》《སྣར་》,སྒྲུབས།,,,,,,
,,273,2,《པེ་》《སྣར་》,མྱང་།,,,,,,
,,274,3,《པེ་》《སྣར་》,པར།,,,,,,
,,275,4,《པེ་》《སྣར་》,pམི།,,,,,,
,,276,5,《པེ་》《སྣར་》,བ།,,,,,,
,484,277,1,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,278,2,《པེ་》《སྣར་》,དཔེས།,,,,,,
,485,279,1,《པེ་》《སྣར་》,སྲེག,,,,,,
,,280,2,《པེ་》《སྣར་》,དཔའ།,,,,,,
,,281,3,《པེ་》《སྣར་》,mཡང་།,,,,,,
,,282,4,《པེ་》《སྣར་》,ལྟ།,,,,,,
,486,283,1,《པེ་》《སྣར་》,pདེ།,,,,,,
,,284,2,《པེ་》《སྣར་》,pབསྲེག་པ་ཡང་སྲེག་པར་མི་བྱེད་ལ།,,,,,,
,,285,3,《པེ་》《སྣར་》,བྱ།,,,,,,
,,286,4,《པེ་》《སྣར་》,ན།,,,,,,
,,287,5,《པེ་》《སྣར་》,mབ།,,,,,,
,487,288,1,《པེ་》《སྣར་》,རིག,,,,,,
,,289,2,《པེ་》《སྣར་》,mབས།,,,,,,
,,290,3,《པེ་》,mདང་།,,,,,,
,,291,4,《པེ་》《སྣར་》,ལ།,,,,,,
,,292,5,《པེ་》《སྣར་》,mཇི་ལྟར།,,,,,,
,,293,6,《པེ་》《སྣར་》,ན།,,,,,,
,488,294,1,《པེ་》《སྣར་》,བལྟ།,,,,,,
,,295,2,《པེ་》《སྣར་》,བ།,,,,,,
,,296,3,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,297,4,《པེ་》《སྣར་》,ལྟ།,,,,,,
,,298,5,《པེ་》《སྣར་》,ལྟ།,,,,,,
,,299,6,《པེ་》《སྣར་》,ཁྱོད་ཀྱི་ནི། །ལྟ་བ་ལྟ་བ།,,,,,,
,,300,7,《པེ་》《སྣར་》,པ།,,,,,,
,,301,8,《པེ་》《སྣར་》,སྤང་།,,,,,,
,,302,9,《པེ་》《སྣར་》,ལྟ།,,,,,,
,489,303,1,《པེ་》《སྣར་》,ལྟ།,,,,,,
,,304,2,《པེ་》《སྣར་》,པ།,,,,,,
,,305,3,《པེ་》《སྣར་》,ལྟ།,,,,,,
,,306,4,《པེ་》《སྣར་》,གི།,,,,,,
,,307,5,《པེ་》《སྣར་》,ལྟ།,,,,,,
,,308,6,《པེ་》《སྣར་》,ལྟ།,,,,,,
,,309,7,《པེ་》《སྣར་》,ལྟ།,,,,,,
,,310,8,《པེ་》《སྣར་》,ལྟ།,,,,,,
,490,311,1,《སྣར་》,pད།,,,,,,
,,312,2,《པེ་》《སྣར་》,པ།,,,,,,
,,313,3,《པེ་》《སྣར་》,པར།,,,,,,
,,314,4,《པེ་》《སྣར་》,ལྟ།,,,,,,
,491,315,1,《པེ་》《སྣར་》,ལྟར།,,,,,,
,,316,2,《པེ་》《སྣར་》,pན།,,,,,,
,,317,3,《པེ་》《སྣར་》,པས།,,,,,,
,,318,4,《པེ་》《སྣར་》,བསལ།,,,,,,
,492,319,1,《པེ་》《སྣར་》,ཞིག་བརྟག,,,,,,
,,320,2,《པེ་》《སྣར་》,pལ།,,,,,,
,,321,3,《པེ་》《སྣར་》,pཡང་།,,,,,,
,,322,4,《པེ་》《སྣར་》,འདིར།,,,,,,
,493,323,1,《པེ་》《སྣར་》,པར།,,,,,,
,,324,2,《པེ་》《སྣར་》,མ་ཡིན།,,,,,,
,,325,3,《སྣར་》,བར།,,,,,,
,,326,4,《པེ་》《སྣར་》,ཐ་ཆད།,,,,,,
,,327,5,《པེ་》《སྣར་》,གཟུང་།,,,,,,
,,328,6,《པེ་》《སྣར་》,བརྟག,,,,,,
,,329,7,《པེ་》《སྣར་》,བའི།,,,,,,
,494,330,1,《པེ་》《སྣར་》,pདང་།,,,,,,
,,331,2,《པེ་》《སྣར་》,mམི་འཐད་པ་ཉིད་ཀྱིས།,,,,,,
,495,332,1,《པེ་》《སྣར་》,ཡི།,,,,,,
,,333,2,《པེ་》,བཙད།,《སྣར་》,བཅད།,,,,,
,,334,3,《པེ་》《སྣར་》,mཚེ།,,,,,,
,,335,4,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,336,5,《པེ་》《སྣར་》,ནས།,,,,,,
,,337,6,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,338,7,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,496,339,1,《པེ་》《སྣར་》,ཡི།,,,,,,
,,340,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,341,3,《པེ་》《སྣར་》,ལྟ།,,,,,,
,,342,4,《པེ་》《སྣར་》,mདུ།,,,,,,
,,343,5,《པེ་》《སྣར་》,mའདིར།,,,,,,
,,344,6,《པེ་》《སྣར་》,pལས།,,,,,,
,,345,7,《པེ་》《སྣར་》,མཁའི།,,,,,,
,,346,8,《པེ་》《སྣར་》,mན།,,,,,,
,497,347,1,《པེ་》《སྣར་》,mཞེས།,,,,,,
,,348,2,《པེ་》《སྣར་》,པ།,,,,,,
,498,349,1,《སྣར་》,པར།,,,,,,
,,350,2,《པེ་》《སྣར་》,mདེ།,,,,,,
,,351,3,《པེ་》《སྣར་》,དེའི།,,,,,,
,499,352,1,《པེ་》《སྣར་》,གང་།,,,,,,
,,353,2,《པེ་》《སྣར་》,གྱུར།,,,,,,
