མཆན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,263,3,《པེ་》《སྣར་》,སྣ་དང།,
,,264,4,《པེ་》《སྣར་》,དང།,
,,265,5,《པེ་》《སྣར་》,ཨཱཾ།,
,,266,6,《པེ་》《སྣར་》,mམོ།,
,,267,7,《པེ་》《སྣར་》,གིས་སྙིང་པོ།,
,620,268,1,《པེ་》《སྣར་》,གིས།,
,,269,2,《པེ་》《སྣར་》,mཀྱིས།,
,,270,3,《པེ་》《སྣར་》,mབ།,
,,271,4,《པེ་》《སྣར་》,གསུང།,
,621,272,1,《པེ་》《སྣར་》,mཔས།,
,,273,2,《པེ་》《སྣར་》,རྟེན།,
,,274,3,《པེ་》《སྣར་》,ལས་བསྟན།,
,,275,4,《པེ་》《སྣར་》,pཔ།,
,,276,5,《པེ་》《སྣར་》,རྗེ་ཟླས།,
,,277,6,《པེ་》《སྣར་》,རྗེ་ཟླས།,
,,278,7,《པེ་》《སྣར་》,ཡི།,
,,279,8,《པེ་》《སྣར་》,སྤོར།,
,,280,9,《པེ་》《སྣར་》,རྗེ།,
,,281,10,《པེ་》《སྣར་》,བཟློས།,
,622,282,1,《པེ་》《སྣར་》《ཅོ་》,རྟོག,
,623,283,1,《པེ་》《སྣར་》,mམཐར་ཕྱིན་པ།,
,,284,2,《པེ་》《སྣར་》,pདང་བ་ཐག་ལ།,
,,285,3,《པེ་》《སྣར་》,mཿ།,
,,286,4,《ཅོ་》,བརྟེན།,
,,287,5,《པེ་》《སྣར་》,ཁྱལ།,
,,288,6,《པེ་》《སྣར་》,ཁྱལ།,
,,289,7,《པེ་》《སྣར་》,པའི།,
,624,290,1,《པེ་》《སྣར་》,པའི།,
,,291,2,《སྣར་》,བ།,
,,292,3,《པེ་》《སྣར་》,ཡིས།,
,,293,4,《པེ་》《སྣར་》,གི་བྱུག་པར།,
,,294,5,《པེ་》《སྣར་》,mཞེས་པ།,
,,295,6,《པེ་》《སྣར་》,གིས།,
,,296,7,《པེ་》《སྣར་》,mདང།,
,,297,8,《པེ་》《སྣར་》,བར།,
,625,298,1,《པེ་》《སྣར་》,པའི་གཞན།,
,,299,2,《པེ་》《སྣར་》,པར་ཤེས་པ་འདི།,
,,300,3,《པེ་》《སྣར་》,ཏོན།,
,,301,4,《པེ་》《སྣར་》,གོས།,
,,302,5,《པེ་》《སྣར་》,གིས།,
,,303,6,《པེ་》《སྣར་》,pངེ་།,
,626,304,1,《པེ་》《སྣར་》,mཞེས།,
,,305,2,《པེ་》《སྣར་》,ནི་དུས།,
,,306,3,《པེ་》《སྣར་》,mཔ།,
,,307,4,《པེ་》《སྣར་》,བུ།,
,,308,5,《པེ་》《སྣར་》,བཟླས།,
,627,309,1,《པེ་》《སྣར་》,རྒྱུད།,
,,310,2,《པེ་》《སྣར་》,ཀྱི།,
,,311,3,《པེ་》《སྣར་》,གྱིས།,
,,312,4,《པེ་》《སྣར་》,pཞེ་ན།,
,,313,5,《པེ་》《སྣར་》,པས།,
,628,314,1,《པེ་》《སྣར་》,བཞི།,
,,315,2,《པེ་》《སྣར་》,ཞིག,
,,316,3,《པེ་》,རྣམ་དང།;《སྣར་》,རྣམས་དང།
,,317,4,《པེ་》《སྣར་》,ཀྱི་གསུང་བ།,
,629,318,1,《པེ་》《སྣར་》,པར།,
,,319,2,《པེ་》《སྣར་》,pཔ།,
,630,320,1,《པེ་》《སྣར་》,པ།,
,,321,2,《པེ་》《སྣར་》,ཡི།,
,,322,3,《པེ་》《སྣར་》,mངེ་།,
,,323,4,《པེ་》《སྣར་》,འཇུག,
,,324,5,《པེ་》《སྣར་》,གཞན།,
,,325,6,《པེ་》《སྣར་》,རྒྱུད།,
,,326,7,《པེ་》《སྣར་》,ཀྱི།,
,631,327,1,《པེ་》《སྣར་》,བལྟོས།,
,,328,2,《པེ་》《སྣར་》,བལྟོས།,
,,329,3,《པེ་》《སྣར་》,ཚིམ།,
,,330,4,《པེ་》《སྣར་》,པ།,
,,331,5,《པེ་》《སྣར་》,གི།,
,,332,6,《པེ་》《སྣར་》,པར།,
,,333,7,《པེ་》《སྣར་》,གི།,
,,334,8,《པེ་》《སྣར་》,དག,
,632,335,1,《པེ་》《སྣར་》《ཅོ་》,བཞི།,
,,336,2,《པེ་》《སྣར་》,བརྟན།,
,,337,3,《པེ་》《སྣར་》,ཀྱི་རྒྱན།,
,,338,4,《པེ་》《སྣར་》,mམ་ལུས།,
,,339,5,《པེ་》《སྣར་》,pབྱ་བ།,
,,340,6,《པེ་》《སྣར་》,གྱི།,
,,341,7,《པེ་》《སྣར་》,ཡི།,
,633,342,1,《པེ་》《སྣར་》,mའཇིག་རྟེན།,
,,343,2,《པེ་》《སྣར་》,ལོ།,
,,344,3,《པེ་》《སྣར་》,མས།,
,,345,4,《པེ་》《སྣར་》,ཀྱི།,
,,346,5,《པེ་》《སྣར་》,དུ།,
,,347,6,《པེ་》《སྣར་》,སྙེམས།,
,,348,7,《པེ་》《སྣར་》,ཕངས།,
,,349,8,《པེ་》《སྣར་》,བདག,
,,350,9,《པེ་》《སྣར་》,mཀུན་གྱིས།,
,,351,10,《པེ་》《སྣར་》,གི།,
,,352,11,《པེ་》《སྣར་》,རྟོགས།,
,,353,12,《པེ་》《སྣར་》,རྩམ།,
,,354,13,《པེ་》《སྣར་》,འགྱུར།,
,,355,14,《པེ་》《སྣར་》,ལས།,
,,356,15,《པེ་》《སྣར་》,དེ།,
,,357,16,《པེ་》《སྣར་》,ཅིག,
,,358,17,《པེ་》《སྣར་》,རྟེན།,
,634,359,1,《པེ་》《སྣར་》,གྱི།,
,,360,2,《སྣར་》,འབྲེལ།,
