མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
,,275,5,《པེ་》《སྣར་》,mབ།,,,,,,
,,276,6,《པེ་》《སྣར་》,mནི།,,,,,,
,,277,7,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,278,8,《པེ་》《སྣར་》,mཔོ།,,,,,,
,,279,9,《པེ་》《སྣར་》,mཚེ།,,,,,,
,961,280,1,《པེ་》《སྣར་》,འཐུན།,,,,,,
,,281,2,《པེ་》《སྣར་》,mཔ།,,,,,,
,,282,3,《པེ་》《སྣར་》,mནི།,,,,,,
,962,283,1,《པེ་》《སྣར་》,mཐམ་ལག་དག་གིས་དགག་པ་མི་མཐུན་པའི་སྐྱོན་དུ་འགྱུར་བས། ,,,,,,
,,284,2,《པེ་》《སྣར་》,བཙལ།,,,,,,
,,285,3,《པེ་》《སྣར་》,པོར།,,,,,,
,963,286,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,287,2,《པེ་》《སྣར་》,རྣམ།,,,,,,
,,288,3,《པེ་》《སྣར་》,mའགྲོ་བ་མེད་ན་འགྲོ་བ་པོ།།,,,,,,
,,289,4,《པེ་》《སྣར་》,mཔ།,,,,,,
,,290,5,《པེ་》《སྣར་》,པར།,,,,,,
,,291,6,《པེ་》《སྣར་》,mའགྲོ་བ་པོ།,,,,,,
,964,292,1,《པེ་》《སྣར་》,pཔ་མེད།,,,,,,
,,293,2,《པེ་》《སྣར་》,mདག,,,,,,
,,294,3,《པེ་》《སྣར་》,mཔ།,,,,,,
,,295,4,《པེ་》《སྣར་》,mགང་།,,,,,,
,,296,5,《པེ་》《སྣར་》,ལྟར།,,,,,,
,,297,6,《པེ་》《སྣར་》,pནི།,,,,,,
,965,298,1,《པེ་》《སྣར་》,mནི།,,,,,,
,,299,2,《པེ་》《སྣར་》,པ།,,,,,,
,,300,3,《པེ་》《སྣར་》,པ།,,,,,,
,,301,4,《སྣར་》,བརྟག,,,,,,
,966,302,1,《པེ་》《སྣར་》,གྱུར་པ།,,,,,,
,,303,2,《པེ་》《སྣར་》,pདེ།,,,,,,
,,304,3,《པེ་》,དེ།;《སྣར་》,ད།,,,,,
,967,305,1,《པེ་》《སྣར་》《ཅོ་》,བརྩོམ།,,,,,,
,,306,2,《པེ་》《སྣར་》,pནོ།,,,,,,
,,307,3,《པེ་》《སྣར་》,mབ།,,,,,,
,,308,4,《པེ་》《སྣར་》,བཅས།,,,,,,
,,309,5,《པེ་》《སྣར་》,བཞག,,,,,,
,968,310,1,《པེ་》《སྣར་》,པོ།,,,,,,
,,311,2,《པེ་》《སྣར་》,mབགོམ་པ་ལས་སྡོད་པར་མི་འགྱུར་ཏེ།,,,,,,
,969,312,1,《པེ་》《སྣར་》,འཐད།,,,,,,
,970,313,1,《པེ་》《སྣར་》,ཙེ་ཏྲ་འགྲོ་པོ་མེ་ཏྲ་འགྲོ་པོ།,,,,,,
,971,314,1,《པེ་》《སྣར་》,ལྟར།,,,,,,
,,315,2,《སྣར་》,བརྟག,,,,,,
,,316,3,《པེ་》《སྣར་》,mནི།,,,,,,
,,317,4,《པེ་》《སྣར་》,བཅད།,,,,,,
,,318,5,《པེ་》《སྣར་》,པ།,,,,,,
,972,319,1,《པེ་》《སྣར་》,པ་སྤྱིར།,,,,,,
,,320,2,《པེ་》《སྣར་》,mགི་བདག་ཉིད།,,,,,,
,,321,3,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,322,4,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,323,5,《པེ་》《སྣར་》,བཅས་པའི།,,,,,,
,,324,6,《པེ་》《སྣར་》,པ།,,,,,,
,973,325,1,《པེ་》《སྣར་》,པ།,,,,,,
,,326,2,《སྣར་》,ཇི།,,,,,,
,,327,3,《པེ་》《སྣར་》,བལྟོས།,,,,,,
,,328,4,《པེ་》《སྣར་》,mཔ།,,,,,,
,,329,5,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,974,330,1,《པེ་》《སྣར་》,mདག,,,,,,
,,331,2,《སྣར་》,པོར།,,,,,,
,975,332,1,《པེ་》《སྣར་》,mཇི།,,,,,,
,,333,2,《པེ་》《སྣར་》,ལ།,,,,,,
,,334,3,《པེ་》《སྣར་》,དཔག,,,,,,
,,335,4,《པེ་》《སྣར་》,mཔ་མེད།,,,,,,
,,336,5,《པེ་》《སྣར་》,mཕྱིར།,,,,,,
,,337,6,《པེ་》《སྣར་》,བློ།,,,,,,
,,338,7,《པེ་》《སྣར་》,པས།,,,,,,
,,339,8,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,976,340,1,《པེ་》《སྣར་》,pཔ།,,,,,,
,,341,2,《པེ་》《སྣར་》,བཅའ།,,,,,,
,,342,3,《པེ་》《སྣར་》,ཉིད།,,,,,,
,,343,4,《པེ་》《སྣར་》,དེ།,,,,,,
,977,344,1,《པེ་》《སྣར་》,ཅི།,,,,,,
,,345,2,《པེ་》《སྣར་》,ལས།,,,,,,
,,346,3,《པེ་》《སྣར་》,ལྟར།,,,,,,
,978,347,1,《པེ་》《སྣར་》,འགྲོའོ་ཞེས།,,,,,,
,,348,2,《པེ་》《སྣར་》,གི།,,,,,,
,,349,3,《པེ་》《སྣར་》,པོར།,,,,,,
,,350,4,《སྣར་》,བར།,,,,,,
,979,351,1,《པེ་》《སྣར་》,བ་པོའི།,,,,,,
,,352,2,《པེ་》《སྣར་》,བཅས་པ།,,,,,,
,,353,3,《པེ་》《སྣར་》,པར།,,,,,,
,,354,4,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,355,5,《པེ་》《སྣར་》,པོ།,,,,,,
,,356,6,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,980,357,1,《པེ་》《སྣར་》,གིས།,,,,,,
,,358,2,《པེ་》《སྣར་》,mདེ།,,,,,,
,,359,3,《པེ་》《སྣར་》,གིས།,,,,,,
,981,360,1,《པེ་》《སྣར་》,mབ།,,,,,,
,,361,2,《པེ་》《སྣར་》,mལ།,,,,,,
,,362,3,《པེ་》《སྣར་》,བསྒྲུབས།,,,,,,
,,363,4,《པེ་》《སྣར་》,སྒྲ།,,,,,,
,,364,5,《པེ་》《སྣར་》,mབ།,,,,,,
,,365,6,《པེ་》《སྣར་》,ཡིན།,,,,,,
,982,366,1,《པེ་》《སྣར་》,བྱའོ།,,,,,,
,,367,2,《པེ་》《སྣར་》,mཔ།,,,,,,
,,368,3,《པེ་》《སྣར་》,དང་།,,,,,,
,,369,4,《པེ་》,པའི།,,,,,,
,983,370,1,《པེ་》《སྣར་》,བགོམ།,,,,,,
,,371,2,《པེ་》《སྣར་》,mན།,,,,,,
,984,372,1,《པེ་》《སྣར་》,མྱང་།,,,,,,
,,373,2,《པེ་》《སྣར་》,རིམ།,,,,,,
,,374,3,《པེ་》《སྣར་》,pརོ།,,,,,,
,,375,4,《པེ་》《སྣར་》,མྱང་།,,,,,,
,,376,5,《པེ་》《སྣར་》,གོ།,,,,,,
,985,377,1,《པེ་》《སྣར་》,པའི།,,,,,,
,,378,2,《པེ་》《སྣར་》,pབ།,,,,,,
,,379,3,《པེ་》《སྣར་》,བསྒྲུབས།,,,,,,
,,380,4,《པེ་》《སྣར་》,བལྟ།,,,,,,
,,381,5,《པེ་》《སྣར་》,ཏོ།,,,,,,
,986,382,1,《པེ་》《སྣར་》,བལྟ།,,,,,,
,,383,2,《པེ་》《སྣར་》,གི།,,,,,,
,,384,3,《པེ་》《སྣར་》,བལྟ།,,,,,,
,,385,4,《པེ་》《སྣར་》,བལྟ།,,,,,,
,,386,5,《པེ་》《སྣར་》,བལྟ།,,,,,,
