མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན,
,,340,6,《པེ་》《སྣར་》,pགཞན།,
,,341,7,《པེ་》《སྣར་》,རྟས།,
,,342,8,《པེ་》《སྣར་》,རྟས།,
,,343,9,《པེ་》《སྣར་》,བརྗོད།,
,,344,10,《པེ་》《སྣར་》,mསྒྲིབ་པ་ནི།,
,125,345,1,《སྣར་》,ལྷགས།,
,,346,2,《པེ་》《སྣར་》,ཡི།,
,,347,3,《པེ་》《སྣར་》,གདམ།,
,,348,4,《པེ་》《སྣར་》,དེ།,
,,349,5,《པེ་》《སྣར་》,ཞེས།,
,,350,6,《པེ་》《སྣར་》,པ།,
,126,351,1,《པེ་》《སྣར་》,ཀྱི།,
,,352,2,《པེ་》《སྣར་》,mགནས།,
,,353,3,《པེ་》《སྣར་》,pལ།,
,,354,4,《པེ་》《སྣར་》,mལ།,
,,355,5,《པེ་》《སྣར་》,མི།,
,,356,6,《པེ་》《སྣར་》,pནས།,
,,357,7,《པེ་》《སྣར་》,མ།,
,,358,8,《པེ་》《སྣར་》,mདུ།,
,,359,9,《པེ་》《སྣར་》,ཀྱི།,
,127,360,1,《པེ་》《སྣར་》,mགི།,
,,361,2,《པེ་》《སྣར་》,pདག,
,,362,3,《པེ་》《སྣར་》,mདྲི།,
,,363,4,《པེ་》,གྱུར་པ།,
,,364,5,《པེ་》《སྣར་》,གྱིས།,
,,365,6,《པེ་》《སྣར་》,འཇུག་དུ།,
,,366,7,《པེ་》《སྣར་》,mགཅིག་དང་།,
,,367,8,《པེ་》《སྣར་》,བས།,
,,368,9,《པེ་》《སྣར་》,བ།,
,,369,10,《པེ་》《སྣར་》,སྐྱག,
,,370,11,《པེ་》《སྣར་》,བརྟེན་པའི་འཇུག,
,,371,12,《པེ་》《སྣར་》,མིག་ཆུང་།,
,,372,13,《པེ་》《སྣར་》,དེ།,
,128,373,1,《པེ་》《སྣར་》,ཀྱི།,
,,374,2,《པེ་》《སྣར་》,ཏེ།,
,,375,3,《པེ་》《སྣར་》,pན།,
,,376,4,《པེ་》《སྣར་》,mཞེས།,
,,377,5,《པེ་》《སྣར་》,རྒྱུ།,
,,378,6,《སྣར་》,གཞི།,
,,379,7,《པེ་》《སྣར་》,pལུས།,
,,380,8,《པེ་》《སྣར་》,pདང་།,
,129,381,1,《སྣར་》,རྒྱལ།,
,,382,2,《པེ་》《སྣར་》,གཟུང་བ།,
,,383,3,《པེ་》,བསྟན།,
,,384,4,《པེ་》《སྣར་》,mཔ།,
,,385,5,《པེ་》《སྣར་》,pདེ།,
,130,386,1,《པེ་》《སྣར་》,འཚོལ།,
,,387,2,《པེ་》《སྣར་》,འཚོལ།,
,,388,3,《པེ་》《སྣར་》,མཐོང་།,
,,389,4,《པེ་》,སྒོམ།,
,,390,5,《པེ་》《སྣར་》,བ་ནི།,
,131,391,1,《པེ་》《སྣར་》,གྱི།,
,,392,2,《པེ་》,pདེ།,
,,393,3,《པེ་》《སྣར་》,འཕྲོས།,
,,394,4,《པེ་》《སྣར་》,དྲུ།,
,,395,5,《པེ་》,གཟུང་།,
,,396,6,《སྣར་》,pདེ།,
,,397,7,《པེ་》《སྣར་》,རྣམས།,
,,398,8,《པེ་》《སྣར་》,pལ།,
,,399,9,《པེ་》《སྣར་》,བའི།,
,,400,10,《པེ་》,བཟད།,
,,401,11,《པེ་》《སྣར་》,བཏུབ་པ།,
,132,402,1,《པེ་》《སྣར་》,mནི།,
,,403,2,《པེ་》《སྣར་》,pསྤྱིའི་མཚན་ཉིད་འབྱུང་བ་དང་འཇིག་པ་མི་མཐུན་པ་ཉིད་ཀྱིས་འདུ་བྱེད་ཀྱིས་སྡུག་བསྔལ་ཉིད་དོ།།,
,,404,3,《པེ་》《སྣར་》,སྟོང་།,
,,405,4,《པེ་》《སྣར་》,གསད།,
,,406,5,《པེ་》《སྣར་》,འབྲལ་བ།,
,133,407,1,《པེ་》,ཏུ།,《སྣར་》,དུ།
,,408,2,《པེ་》《སྣར་》,mཉིད།,
,,409,3,《པེ་》《སྣར་》,གཏན།,
,,410,4,《པེ་》《སྣར་》,པ།,
,,411,5,《སྣར་》,pལ་གང་།,
,,412,6,《སྣར་》,ཉིད།,
,,413,7,《པེ་》《སྣར་》,སྡུག,
,,414,8,《པེ་》《སྣར་》,སློང་།,
,,415,9,《པེ་》《སྣར་》,ལ།,
,,416,10,《པེ་》《སྣར་》,pམེད།,
,,417,11,《པེ་》,གསོགས།,
,,418,12,《པེ་》《སྣར་》,ནོ།,
,,419,13,《པེ་》《སྣར་》,གཉིས།,
,134,420,1,《པེ་》,པའི།,《སྣར་》,པའི་ནི།
,,421,2,《པེ་》《སྣར་》,pམ།,
,,422,3,《པེ་》《སྣར་》,བསམ།,
,,423,4,《པེ་》《སྣར་》,བསམ།,
,,424,5,《པེ་》《སྣར་》,བསམ།,
,,425,7,《པེ་》,mཔ།,
,,426,7,《སྣར་》,ཀྱིས།,
,135,427,1,《པེ་》,བསྟན།,《སྣར་》,ལ་སྟན།
,,428,2,《པེ་》《སྣར་》,བས།,
,,429,3,《སྣར་》,mནི།,
,,430,4,《པེ་》《སྣར་》,mཀྱིས།,
,,431,5,《སྣར་》,mནི།,
,136,432,1,《པེ་》《སྣར་》,བཞི།,
,,433,2,《པེ་》《སྣར་》,འཚོ།,
,,434,3,《པེ་》《སྣར་》,འགྱུར་བ།,
,137,435,1,《སྣར་》,mནི།,
,,436,2,《པེ་》《སྣར་》,གཡོ།,
,,437,3,《པེ་》,བས།,
,,438,4,《པེ་》《སྣར་》,འགྱུར།,
,,439,5,《པེ་》《སྣར་》,mནི།,
,,440,6,《སྣར་》,mམི།,
,,441,7,《པེ་》《སྣར་》,mདག,
,138,442,1,《སྣར་》,རེ།,
,,443,2,《པེ་》《སྣར་》,གྱིས།,
,,444,3,《པེ་》《སྣར་》,བྱ།,
,,445,4,《པེ་》《སྣར་》,ཀྱིས།,
,,446,5,《པེ་》《སྣར་》,དེ་དག,
,,447,6,《པེ་》《སྣར་》,mདག,
,,448,7,《པེ་》《སྣར་》,mདག,
,,449,8,《པེ་》《སྣར་》,ཡོངས།,
,,450,9,《པེ་》《སྣར་》,རུང་།,
,139,451,1,《པེ་》《སྣར་》,པ།,
,,452,2,《པེ་》《སྣར་》,པར་རྗེས་སུ་འཇུག,
,,453,3,《སྣར་》,བསྒྲུབ།,
,,454,4,《པེ་》《སྣར་》,བཞི།,
,,455,5,《པེ་》《སྣར་》,སྤངས་པ།,
,,456,6,《པེ་》《སྣར་》,pཔ།,
,,457,7,《པེ་》,mཅད།,
,140,458,1,《པེ་》,mདེ།,
,,459,2,《པེ་》《སྣར་》,mབ།,
,,460,3,《པེ་》《སྣར་》,ལ།,
,,461,4,《པེ་》《སྣར་》,སྲེད།,
,,462,5,《པེ་》《སྣར་》,རྟོག,
,,463,6,《པེ་》《སྣར་》,mན།,
,,464,7,《པེ་》《སྣར་》,mཔ།,
,,465,8,《པེ་》《སྣར་》,སྤྱོད།,
,141,466,1,《པེ་》《སྣར་》,བྱ་བ།,
,,467,2,《པེ་》,ལྔ།,《སྣར་》,ལྔར།
,,468,3,《པེ་》《སྣར་》,དེའི་དང་།,
,,469,4,《པེ་》《སྣར་》,བཟུང་།,
,,470,5,《པེ་》《སྣར་》,པའོ།,
,,471,6,《པེ་》《སྣར་》,སུ་བཟུང་།,
,,472,7,《པེ་》《སྣར་》,རིགས་པ་རྣམ།,《ཅོ་》,རིག་པ་རྣམས།
,,473,8,《པེ་》《སྣར་》,བཟུང་།,
,,474,9,《པེ་》《སྣར་》,པའི།,
,,475,10,《པེ་》《སྣར་》,པར།,
,,476,11,《པེ་》《སྣར་》,འདའ་བའི།,
,142,477,1,《པེ་》《སྣར་》,གྱིས།,
,,478,2,《པེ་》《སྣར་》,གྱི།,
,,479,3,《པེ་》《སྣར་》,གྱི།,
,,480,4,《པེ་》《སྣར་》,སྤངས་པར།,
,,481,5,《པེ་》,བྱུང་།,
,,482,6,《པེ་》《སྣར་》,བསྒོམ།,
,,483,7,《པེ་》《སྣར་》,mལ།,
,,484,8,《པེ་》《སྣར་》,mསོ།,
