མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན,,,,,,
,,240,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,241,5,《པེ་》《སྣར་》,སྒྱུར་བའི་ཕྱིར།;《ཅོ་》,བསྒྱུར་བའི་ཕྱིར་རོ།,,,,,
,,242,6,《པེ་》《སྣར་》,པ།,,,,,,
,,243,7,《པེ་》《སྣར་》,བར།,,,,,,
,,244,8,《པེ་》《སྣར་》,འགལ།,,,,,,
,46,245,1,《པེ་》《སྣར་》,mགཉིས།,,,,,,
,,246,2,《པེ་》《སྣར་》,གིས།,,,,,,
,,247,3,《པེ་》《སྣར་》,གདུལ།,,,,,,
,,248,4,《པེ་》《སྣར་》,མ་གྱུར་ཏོ། །,,,,,,
,,249,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,47,250,1,《པེ་》《སྣར་》,ཅིག,,,,,,
,,251,2,《སྣར་》,དགས།,,,,,,
,,252,3,《པེ་》《སྣར་》,གི།,,,,,,
,,253,4,《པེ་》《སྣར་》,སྤྱོད།,,,,,,
,,254,5,《པེ་》《སྣར་》,པ།,,,,,,
,,255,6,《པེ་》《སྣར་》,སྟོན།,,,,,,
,48,256,1,《སྣར་》,mདེ།,,,,,,
,,257,2,《པེ་》《སྣར་》,mདེ།,,,,,,
,,258,3,《པེ་》《སྣར་》,གྱི།,,,,,,
,,259,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,260,5,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,261,6,《པེ་》《སྣར་》,པོའི།,,,,,,
,,262,7,《པེ་》,ཐོབ།,,,,,,
,,263,8,《པེ་》《སྣར་》,གིས།,,,,,,
,,264,9,《པེ་》《སྣར་》,pདུ།,,,,,,
,,265,10,《པེ་》《སྣར་》,ལས།,,,,,,
,49,266,1,《པེ་》《སྣར་》,pགྱི།,,,,,,
,,267,2,《པེ་》《སྣར་》,པུའི།,,,,,,
,,268,3,《པེ་》《སྣར་》,པར།,,,,,,
,,269,4,《པེ་》《སྣར་》,བ།,,,,,,
,,270,5,《པེ་》《སྣར་》,གསུངས་པ།,,,,,,
,,271,6,《པེ་》《སྣར་》,གི།,,,,,,
,50,272,1,《པེ་》《སྣར་》,mདུ།,,,,,,
,,273,2,《པེ་》,ཞེ་ན།;《སྣར་》,རམ་ཞེ་ན།,,,,,
,,274,3,《པེ་》《སྣར་》,པོ་གཞུང་གི།,,,,,,
,,275,4,《སྣར་》,འགྱུར་བ།,,,,,,
,,276,5,《པེ་》《སྣར་》,བྱེད།,,,,,,
,51,277,1,《པེ་》,གིས།,,,,,,
,,278,2,《པེ་》《སྣར་》,པར།,,,,,,
,,279,3,《པེ་》《སྣར་》,mའདི།,,,,,,
,,280,4,《ཅོ་》,pཔ།,,,,,,
,52,281,1,《པེ་》《སྣར་》,གིས།,,,,,,
,,282,2,《པེ་》《སྣར་》,བྱུང་།,,,,,,
,,283,3,《པེ་》,འཇིག,,,,,,
,,284,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,285,5,《པེ་》《སྣར་》,བཞད།,,,,,,
,,286,6,《པེ་》《སྣར་》,བས།,,,,,,
,,287,7,《པེ་》《སྣར་》《ཅོ་》,གཞག,,,,,,
,53,288,1,《པེ་》《སྣར་》,pཡི།།,,,,,,
,,289,2,《པེ་》《སྣར་》,མིང་།,,,,,,
,,290,3,《པེ་》《སྣར་》,བསྡུད།,,,,,,
,,291,4,《པེ་》《སྣར་》,mདག་ནས།,,,,,,
,,292,5,《པེ་》《སྣར་》,པོའོ།།,,,,,,
,,293,6,《པེ་》《སྣར་》,mཀྱི།,,,,,,
,,294,7,《པེ་》《སྣར་》,ལ།,,,,,,
,,295,8,《པེ་》《སྣར་》,གིས།,,,,,,
,,296,9,《སྣར་》,mསོ།,,,,,,
,54,297,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,298,2,《པེ་》《སྣར་》,འཇིག,,,,,,
,,299,3,《པེ་》《སྣར་》,པ།,,,,,,
,,300,4,《པེ་》,པར་གྲུབ།;《ཅོ་》,པ་འགྲུབ།,,,,,
,,301,5,《པེ་》《སྣར་》,པོ།,,,,,,
,,302,6,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,303,7,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,304,8,《པེ་》《སྣར་》,pཔ།,,,,,,
,55,305,1,《པེ་》《སྣར་》,པོ།,,,,,,
,,306,2,《པེ་》,ཀྱི་གོ་རིམ།;《སྣར་》,གོ་རིམ།,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་གོ་རིམས་ཞེས་པ་རྣམས་72ལ་གོ་རིམ་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,307,3,《པེ་》《སྣར་》,གིས།,,,,,,
,,308,4,《པེ་》《སྣར་》,པ།,,,,,,
,,309,5,《པེ་》《སྣར་》,གིས།,,,,,,
,,310,6,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,311,7,《པེ་》《སྣར་》,mཞེས་བྱའོ།,,,,,,
,,312,8,《པེ་》,བཞི།,,,,,,
,,313,9,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,56,314,1,《པེ་》《སྣར་》,pནི།,,,,,,
,,315,2,《པེ་》《སྣར་》,སྒོམ།,,,,,,
,,316,3,《པེ་》《སྣར་》,དེ།,,,,,,
,,317,4,《པེ་》《སྣར་》,ཉི་ཁྲི།,,,,,,
,,318,5,《པེ་》,གཉེན་པོ་དེ་གཉེན་པོ་དེ།;《སྣར་》,གཉེན་པོ་དེ་དག་གཉན་པོ།,,,,,
,,319,6,《ཅོ་》,mབཞི།,,,,,,
,,320,7,《པེ་》《སྣར་》,pརབ་ཏུ།,,,,,,
,,321,8,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,57,322,1,《སྣར་》,mདེ།,,,,,,
,,323,2,《པེ་》《སྣར་》,རི།,,,,,,
,,324,3,《སྣར་》,གྱི།,,,,,,
,,325,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
