མཚན་བྱང་།,ཤོག་གྲགས།,1,མཆན་གྲངས། ,པར་མ།,མཆན།,,,,,,
,,205,6,《སྣར་》,ད།,,,,,,
,421,206,1,《སྣར་》,དར།,,,,,,
,,207,2,《པེ་》《སྣར་》,mཔ།,,,,,,
,,208,3,《པེ་》《སྣར་》,གིས།,,,,,,
,422,209,1,《པེ་》《སྣར་》,ན།,,,,,,
,,210,2,《པེ་》《སྣར་》,pཔ།,,,,,,
,,211,3,《པེ་》《སྣར་》,དུར།,,,,,,
,,212,4,《པེ་》《སྣར་》,འགིའུ་ཝཾ།,,,,,,
,423,213,1,《པེ་》《སྣར་》,བཟླས།,,,,,,
,,214,2,《སྣར་》,རའི།,,,,,,
,,215,3,《སྣར་》,བ།,,,,,,
,,216,4,《པེ་》《སྣར་》,སྡེའི།,,,,,,
,,217,5,《སྣར་》,ག,,,,,,
